Exploration Summary
Exploration Point,Quality of Fit,f(MAX) Geomean,WC Slack: Setup,WC Slack: Hold,WC Slack: Recovery,WC Slack: Removal,Logic Utilization,Compilation Time
dse1_SoCKitTop_1,100.430,92.690 MHz,11.272,0.187,14.396,0.398,426,00:04:20
dse1_SoCKitTop_2,100.470,98.430 MHz,11.587,0.261,14.595,0.333,426,00:04:24
dse1_SoCKitTop_3,100.470,91.790 MHz,11.219,0.285,14.749,0.359,427,00:06:19
dse1_SoCKitTop_4,100.430,108.920 MHz,12.076,0.171,14.596,0.425,427,00:04:12
dse1_SoCKitTop_5,100.440,94.960 MHz,11.401,0.195,13.332,0.424,428,00:05:40
dse1_SoCKitTop_6,100.440,106.580 MHz,11.975,0.185,13.993,0.352,426,00:06:04
dse1_SoCKitTop_7,100.430,93.780 MHz,11.335,0.185,14.037,0.349,425,00:04:44
dse1_SoCKitTop_8,100.450,90.980 MHz,11.171,0.222,14.560,0.480,426,00:05:04
dse1_SoCKitTop_9,100.420,84.720 MHz,10.765,0.168,14.660,0.420,427,00:04:32
dse1_SoCKitTop_10,100.420,85.300 MHz,10.805,0.162,13.775,0.383,427,00:06:59
dse1_SoCKitTop_11,100.470,103.510 MHz,11.836,0.269,14.326,0.479,426,00:06:17
dse1_SoCKitTop_12,100.420,96.910 MHz,11.507,0.156,13.887,0.453,428,00:04:28
dse1_SoCKitTop_13,100.430,93.710 MHz,11.331,0.189,13.642,0.483,426,00:03:44
dse1_SoCKitTop_14,100.460,89.040 MHz,11.051,0.240,14.571,0.313,426,00:02:45
dse1_SoCKitTop_15,100.470,100.370 MHz,11.685,0.262,14.257,0.438,427,00:03:09
dse1_SoCKitTop_base,100.410,87.210 MHz,10.933,0.147,13.719,0.505,426,00:04:38
