Exploration Summary
Exploration Point,Quality of Fit,f(MAX) Geomean,WC Slack: Setup,WC Slack: Hold,WC Slack: Recovery,WC Slack: Removal,Logic Utilization,Compilation Time
dse1_SoCKitTop_1,100.470,89.680 MHz,11.091,0.276,13.509,0.362,302,00:04:38
dse1_SoCKitTop_2,100.450,79.360 MHz,10.366,0.224,13.716,0.491,302,00:05:20
dse1_SoCKitTop_3,100.470,97.000 MHz,11.512,0.252,13.937,0.426,304,00:05:19
dse1_SoCKitTop_4,100.420,104.990 MHz,11.904,0.163,14.062,0.348,304,00:03:51
dse1_SoCKitTop_5,100.420,96.680 MHz,11.495,0.162,14.271,0.300,302,00:04:18
dse1_SoCKitTop_6,100.440,98.490 MHz,11.590,0.202,14.966,0.440,303,00:04:10
dse1_SoCKitTop_7,100.460,107.240 MHz,12.004,0.238,13.716,0.363,303,00:05:11
dse1_SoCKitTop_8,100.420,95.520 MHz,11.432,0.158,13.841,0.470,303,00:05:27
dse1_SoCKitTop_9,100.430,95.030 MHz,11.405,0.180,13.880,0.420,302,00:04:00
dse1_SoCKitTop_10,100.430,92.360 MHz,11.253,0.189,14.078,0.391,301,00:04:11
dse1_SoCKitTop_11,100.440,71.770 MHz,9.700,0.227,13.659,0.434,303,00:05:06
dse1_SoCKitTop_12,100.470,94.350 MHz,11.367,0.262,14.688,0.362,302,00:04:03
dse1_SoCKitTop_13,100.430,90.150 MHz,11.120,0.192,13.741,0.467,304,00:04:38
dse1_SoCKitTop_14,100.480,108.520 MHz,12.059,0.274,13.684,0.374,301,00:04:36
dse1_SoCKitTop_15,100.450,95.610 MHz,11.437,0.220,13.460,0.455,301,00:03:04
dse1_SoCKitTop_base,100.430,104.700 MHz,11.891,0.181,14.659,0.282,304,00:04:22
