Exploration Summary
Exploration Point,Quality of Fit,f(MAX) Geomean,WC Slack: Setup,WC Slack: Hold,WC Slack: Recovery,WC Slack: Removal,Logic Utilization,Compilation Time
dse1_SoCKitTop_1,100.440,78.770 MHz,10.319,0.206,13.706,0.284,355,00:04:53
dse1_SoCKitTop_2,100.420,88.580 MHz,11.022,0.167,13.586,0.304,355,00:06:10
dse1_SoCKitTop_3,100.430,99.120 MHz,11.622,0.179,14.347,0.449,355,00:06:15
dse1_SoCKitTop_4,100.450,94.330 MHz,11.366,0.219,13.979,0.391,355,00:04:25
dse1_SoCKitTop_5,100.460,98.470 MHz,11.589,0.238,14.229,0.319,356,00:06:02
dse1_SoCKitTop_6,100.410,103.530 MHz,11.837,0.144,14.346,0.452,359,00:06:27
dse1_SoCKitTop_7,100.420,82.760 MHz,10.625,0.177,13.668,0.361,356,00:06:44
dse1_SoCKitTop_8,100.440,74.260 MHz,9.933,0.228,13.827,0.497,355,00:04:14
dse1_SoCKitTop_9,100.430,84.710 MHz,10.764,0.180,14.449,0.333,355,00:03:44
dse1_SoCKitTop_10,100.460,111.070 MHz,12.165,0.239,14.190,0.317,355,00:03:46
dse1_SoCKitTop_11,100.430,94.460 MHz,11.373,0.185,14.458,0.362,356,00:03:33
dse1_SoCKitTop_12,100.430,88.140 MHz,10.994,0.178,14.752,0.332,357,00:03:33
dse1_SoCKitTop_13,100.420,98.650 MHz,11.598,0.161,13.775,0.493,357,00:03:28
dse1_SoCKitTop_14,100.460,98.610 MHz,11.596,0.237,13.685,0.498,355,00:03:29
dse1_SoCKitTop_15,100.470,101.470 MHz,11.739,0.259,14.063,0.329,356,00:03:10
dse1_SoCKitTop_base,100.440,94.720 MHz,11.388,0.205,14.491,0.342,357,00:04:48
