Exploration Summary
Exploration Point,Quality of Fit,f(MAX) Geomean,WC Slack: Setup,WC Slack: Hold,WC Slack: Recovery,WC Slack: Removal,Logic Utilization,Compilation Time
dse1_SoCKitTop_1,100.450,119.180 MHz,12.471,0.215,14.274,0.336,289,00:03:46
dse1_SoCKitTop_2,100.460,90.460 MHz,11.139,0.256,14.132,0.360,288,00:04:16
dse1_SoCKitTop_3,100.430,96.140 MHz,11.466,0.178,14.583,0.509,289,00:04:10
dse1_SoCKitTop_4,100.470,92.930 MHz,11.286,0.269,14.161,0.361,288,00:04:54
dse1_SoCKitTop_5,100.430,85.190 MHz,10.797,0.194,13.911,0.398,289,00:03:30
dse1_SoCKitTop_6,100.420,96.960 MHz,11.510,0.163,14.041,0.366,288,00:03:40
dse1_SoCKitTop_7,100.420,94.280 MHz,11.363,0.155,14.203,0.263,288,00:03:34
dse1_SoCKitTop_8,100.440,99.470 MHz,11.640,0.198,13.670,0.350,289,00:02:43
dse1_SoCKitTop_9,100.370,98.630 MHz,11.597,0.059,13.628,0.425,288,00:02:53
dse1_SoCKitTop_10,100.410,90.280 MHz,11.128,0.150,13.615,0.269,289,00:02:52
dse1_SoCKitTop_11,100.420,104.590 MHz,11.886,0.161,14.072,0.363,290,00:02:35
dse1_SoCKitTop_12,100.430,94.670 MHz,11.385,0.182,14.717,0.464,290,00:02:30
dse1_SoCKitTop_13,100.400,90.380 MHz,11.134,0.133,14.628,0.233,290,00:03:36
dse1_SoCKitTop_14,100.430,96.740 MHz,11.498,0.178,14.042,0.378,289,00:03:29
dse1_SoCKitTop_15,100.480,101.350 MHz,11.733,0.289,14.552,0.370,290,00:03:39
dse1_SoCKitTop_base,100.430,91.130 MHz,11.180,0.187,14.052,0.414,288,00:03:43
