Exploration Summary
Exploration Point,Quality of Fit,f(MAX) Geomean,WC Slack: Setup,WC Slack: Hold,WC Slack: Recovery,WC Slack: Removal,Logic Utilization,Compilation Time
dse1_SoCKitTop_1,100.460,75.950 MHz,10.083,0.277,14.056,0.387,360,00:03:41
dse1_SoCKitTop_2,100.470,90.240 MHz,11.126,0.277,14.227,0.298,359,00:04:50
dse1_SoCKitTop_3,100.450,104.530 MHz,11.883,0.213,13.654,0.455,359,00:03:57
dse1_SoCKitTop_4,100.430,88.610 MHz,11.024,0.189,14.560,0.418,359,00:04:29
dse1_SoCKitTop_5,100.440,106.120 MHz,11.955,0.195,14.006,0.371,359,00:03:50
dse1_SoCKitTop_6,100.440,91.170 MHz,11.182,0.203,13.431,0.394,360,00:03:44
dse1_SoCKitTop_7,100.450,86.870 MHz,10.911,0.220,13.886,0.403,360,00:03:29
dse1_SoCKitTop_8,100.460,86.710 MHz,10.900,0.258,14.061,0.393,359,00:04:45
dse1_SoCKitTop_9,100.440,98.300 MHz,11.580,0.202,13.817,0.315,360,00:04:04
dse1_SoCKitTop_10,100.420,94.010 MHz,11.348,0.162,13.975,0.359,359,00:04:39
dse1_SoCKitTop_11,100.420,89.870 MHz,11.103,0.167,13.696,0.381,359,00:05:02
dse1_SoCKitTop_12,100.460,87.340 MHz,10.942,0.238,13.823,0.446,359,00:03:39
dse1_SoCKitTop_13,100.430,93.660 MHz,11.328,0.176,14.449,0.397,359,00:03:55
dse1_SoCKitTop_14,100.420,95.610 MHz,11.437,0.151,13.982,0.342,360,00:03:38
dse1_SoCKitTop_15,100.470,101.040 MHz,11.718,0.263,13.992,0.418,359,00:03:23
dse1_SoCKitTop_base,100.450,122.620 MHz,12.589,0.209,13.864,0.376,359,00:03:51
