Exploration Summary
Exploration Point,Quality of Fit,f(MAX) Geomean,WC Slack: Setup,WC Slack: Hold,WC Slack: Recovery,WC Slack: Removal,Logic Utilization,Compilation Time
dse1_SoCKitTop_1,100.430,90.410 MHz,11.136,0.192,14.108,0.358,188,00:03:44
dse1_SoCKitTop_2,100.440,101.490 MHz,11.740,0.197,13.681,0.244,187,00:03:09
dse1_SoCKitTop_3,100.420,103.040 MHz,11.814,0.158,14.101,0.341,188,00:03:09
dse1_SoCKitTop_4,100.430,86.480 MHz,10.885,0.181,13.975,0.391,187,00:02:49
dse1_SoCKitTop_5,100.460,93.890 MHz,11.341,0.245,13.867,0.390,188,00:02:46
dse1_SoCKitTop_6,100.460,96.440 MHz,11.482,0.238,14.082,0.317,189,00:02:46
dse1_SoCKitTop_7,100.440,89.090 MHz,11.054,0.202,13.893,0.401,187,00:03:04
dse1_SoCKitTop_8,100.460,87.600 MHz,10.959,0.238,13.987,0.417,189,00:02:48
dse1_SoCKitTop_9,100.430,104.920 MHz,11.901,0.168,14.617,0.407,188,00:03:32
dse1_SoCKitTop_10,100.450,101.660 MHz,11.748,0.206,14.150,0.349,189,00:03:19
dse1_SoCKitTop_11,100.450,116.400 MHz,12.371,0.198,14.202,0.338,188,00:03:42
dse1_SoCKitTop_12,100.430,103.980 MHz,11.858,0.165,14.563,0.418,189,00:03:18
dse1_SoCKitTop_13,100.430,93.190 MHz,11.301,0.173,13.986,0.370,188,00:02:57
dse1_SoCKitTop_14,100.430,97.780 MHz,11.553,0.174,14.339,0.324,187,00:02:52
dse1_SoCKitTop_15,100.410,85.990 MHz,10.852,0.146,13.690,0.512,187,00:02:38
dse1_SoCKitTop_base,100.480,93.730 MHz,11.332,0.294,14.551,0.461,186,00:03:13
