Exploration Summary
Exploration Point,Quality of Fit,f(MAX) Geomean,WC Slack: Setup,WC Slack: Hold,WC Slack: Recovery,WC Slack: Removal,Logic Utilization,Compilation Time
dse1_SoCKitTop_1,100.450,88.470 MHz,11.015,0.231,14.065,0.370,281,00:04:51
dse1_SoCKitTop_2,100.430,95.160 MHz,11.412,0.178,14.017,0.342,280,00:04:49
dse1_SoCKitTop_3,100.430,80.760 MHz,10.475,0.184,14.582,0.460,279,00:04:10
dse1_SoCKitTop_4,100.440,92.980 MHz,11.289,0.202,13.864,0.408,281,00:04:50
dse1_SoCKitTop_5,100.430,103.830 MHz,11.851,0.179,13.777,0.329,277,00:04:33
dse1_SoCKitTop_6,100.430,89.280 MHz,11.066,0.185,13.786,0.434,279,00:03:41
dse1_SoCKitTop_7,100.410,95.320 MHz,11.421,0.133,14.037,0.370,278,00:03:43
dse1_SoCKitTop_8,100.420,80.380 MHz,10.446,0.179,14.820,0.385,278,00:05:08
dse1_SoCKitTop_9,100.400,69.640 MHz,9.487,0.151,14.094,0.361,276,00:03:58
dse1_SoCKitTop_10,100.470,92.140 MHz,11.240,0.288,14.107,0.339,281,00:05:12
dse1_SoCKitTop_11,100.430,119.690 MHz,12.489,0.161,14.397,0.464,279,00:04:54
dse1_SoCKitTop_12,100.460,85.460 MHz,10.816,0.238,13.994,0.315,274,00:02:37
dse1_SoCKitTop_13,100.440,99.930 MHz,11.663,0.196,14.117,0.383,279,00:03:16
dse1_SoCKitTop_14,100.450,86.500 MHz,10.886,0.220,13.973,0.424,279,00:02:43
dse1_SoCKitTop_15,100.450,100.030 MHz,11.668,0.214,13.914,0.374,276,00:02:36
dse1_SoCKitTop_base,100.450,88.080 MHz,10.990,0.231,14.494,0.342,276,00:04:46
